Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919),3/81,5.917620528943831e-05,0.0097640738727573,0,0,47.84375,465.75847730931474,CRADD;CASP4;TNFSF10
GO_Biological_Process_2021,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280),3/119,0.00018563429918524337,0.0153148296827825,0,0,32.109375,275.8751431796844,CRADD;CASP4;TNFSF10
GO_Biological_Process_2021,interleukin-12-mediated signaling pathway (GO:0035722),2/46,0.0008631631629479798,0.0323099811405035,0,0,53.30748663101604,376.0793509860404,CNN2;P4HB
GO_Biological_Process_2021,cellular response to interleukin-12 (GO:0071349),2/48,0.0009396589163653946,0.0323099811405035,0,0,50.9846547314578,355.36271735381746,CNN2;P4HB
GO_Biological_Process_2021,cellular response to mechanical stimulus (GO:0071260),2/49,0.0009790903375910178,0.0323099811405035,0,0,49.897371714643306,345.7332324601132,CNN2;CRADD
GO_Biological_Process_2021,positive regulation of apoptotic signaling pathway (GO:2001235),2/59,0.00141647463282,0.0389530524025513,0,0,41.12280701754386,269.74851300087573,CRADD;TNFSF10
GO_Biological_Process_2021,response to endoplasmic reticulum stress (GO:0034976),2/110,0.004822032339112,0.0650478847727207,0,0,21.64814814814815,115.4833406968554,CASP4;P4HB
GO_Biological_Process_2021,bleb assembly (GO:0032060),1/7,0.006631989066781,0.0650478847727207,0,0,184.9537037037037,927.7001289942034,EMP3
GO_Biological_Process_2021,skin morphogenesis (GO:0043589),1/7,0.006631989066781,0.0650478847727207,0,0,184.9537037037037,927.7001289942034,ERRFI1
GO_Biological_Process_2021,ethanol catabolic process (GO:0006068),1/7,0.006631989066781,0.0650478847727207,0,0,184.9537037037037,927.7001289942034,SULT1A1
GO_Biological_Process_2021,platelet dense granule organization (GO:0060155),1/7,0.006631989066781,0.0650478847727207,0,0,184.9537037037037,927.7001289942034,F2RL3
GO_Biological_Process_2021,amine metabolic process (GO:0009308),1/8,0.0075760122063041,0.0650478847727207,0,0,158.52380952380952,774.0350338275504,SULT1A1
